Generated Answer,Ground Truth,Context1,Context2,Context3,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
" If no party gets a majority in the Lok Sabha, the process of forming the government becomes complex. The party or coalition that has the most seats but does not have a majority is called the ""Leader of the Opposition"". The Leader of the Opposition usually belongs to the largest opposition party, but other parties may also be included depending on their strength in the Lok Sabha.
The President of India then seeks the support of the Leader of the Opposition or a coalition of opposition parties to form a government. This process is known as ""confidence and supply"". The opposition parties are given an opportunity to form a government, but they must agree to support the President's party on issues of confidence and supply, such as budget passage and no-confidence motions.
If the opposition parties refuse to support the government, fresh elections may be called, or the President may ask the largest party in the Lok Sabha to form a government. In extreme cases, where no party has enough seats to form a government, a caretaker government may be appointed to administer the country until new elections can be held."," If no party gets a majority in the Lok Sabha, the process of forming the government becomes complex. The party or coalition that has the most seats but does not have a majority is called the ""Leader of the Opposition"". The Leader of the Opposition usually belongs to the largest opposition party, but other parties may also be included depending on their strength in the Lok Sabha.
The President of India then seeks the support of the Leader of the Opposition or a coalition of opposition parties to form a government. This process is known as ""confidence and supply"". The opposition parties are given an opportunity to form a government, but they must agree to support the President's party on issues of confidence and supply, such as budget passage and no-confidence motions.
If the opposition parties refuse to support the government, fresh elections may be called, or the President may ask the largest party in the Lok Sabha to form a government. In extreme cases, where no party has enough seats to form a government, a caretaker government may be appointed to administer the country until new elections can be held.","Social and Political Life 36
Once elected, these candidates become Members
of Parliament or MPs. These MPs together make
up the Parliament. Once elections to the
Parliament have taken place, the Parliament needs
to perform the following functions:
A. To Select the National Government
Parliament of India consists of the President, the Rajya
Sabha and the Lok Sabha. After the Lok Sabha elections,
a list is prepared showing how many MPs belong to
each political party. For a political party to form the
government, they must have a majority of elected MPs.
Since there are 543 elected members in Lok Sabha,
to have a majority a party should have at least half
the number i.e. 272 members or more. The
Opposition in Parliament is formed by all the
political parties that are not part of the majority
party/coalition formed. The largest amongst these
parties is called the Opposition party.
One of the most important functions of the Lok
Sabha is to select the executive. The executive, as","Social and Political Life 36
Once elected, these candidates become Members
of Parliament or MPs. These MPs together make
up the Parliament. Once elections to the
Parliament have taken place, the Parliament needs
to perform the following functions:
A. To Select the National Government
Parliament of India consists of the President, the Rajya
Sabha and the Lok Sabha. After the Lok Sabha elections,
a list is prepared showing how many MPs belong to
each political party. For a political party to form the
government, they must have a majority of elected MPs.
Since there are 543 elected members in Lok Sabha,
to have a majority a party should have at least half
the number i.e. 272 members or more. The
Opposition in Parliament is formed by all the
political parties that are not part of the majority
party/coalition formed. The largest amongst these
parties is called the Opposition party.
One of the most important functions of the Lok
Sabha is to select the executive. The executive, as","believes in diversity of the country and 
recognizes that different regions have 
different developmental challenges. 
The core philosophy of the party is 
education and employment to all as 
well as empowerment of all sections of 
the society. It formed government in 
Meghalaya and has presence in many of 
North Eastern States. In the Lok Sabha 
election held in 2019, NPP secured one 
seat in the Lok Sabha.
State parties
Other than these seven parties, most 
of the major parties of the country are 
classified by the Election Commission 
as ‘State parties’. These are commonly 
referred to as regional parties. Yet 
these parties need not be regional in 
their ideology or outlook. Some of 
these parties are all India parties that 
happen to have succeeded only in 
some states. Parties like the Samajwadi 
Party and Rashtriya Janata Dal have 
national level political organisation 
with units in several states. Some of  
these parties like Biju Janata Dal, Sikkim",54.4855945757458,48.0665985455454,56.6666666666667,50.9944755585555,83.4948778152466
"The President of India is not elected directly by the people, but rather through a process where elected Members of Parliament (MPs) and elected Members of the Legislative Assembly prove majority support in the Lok Sabha within a specified time. The President serves as the head of state and supervises the overall functioning of political institutions to ensure they operate harmoniously towards the objectives of the State. While the President is not a direct executive, their role is still important in India's political system.","The President of India is not elected directly by the people, but rather through a process where elected Members of Parliament (MPs) and elected Members of the Legislative Assembly prove majority support in the Lok Sabha within a specified time. The President serves as the head of state and supervises the overall functioning of political institutions to ensure they operate harmoniously towards the objectives of the State. While the President is not a direct executive, their role is still important in India's political system.","67
Minister of a coalition government
cannot take decisions as he likes.
He has to accommodate different
groups and factions in his party as
well as among alliance partners. He
also has to heed to the views and
positions of the coalition partners
and other parties, on whose support
the survival of the government
depends.
The PresidentThe PresidentThe PresidentThe PresidentThe President
While the Prime Minister is the head
of the go vernment, the President is
the head of the State. In our political
system the head of the State exercises
only nominal powers. The President of
India is like the Queen of Britain whose
functions are to a large extent
ceremonial. The President supervises
the overall functioning of all the political
institutions in the country so that they
operate in harmony to achieve the
objectives of the State.
The President is not elected directly
by the people. The elected Members
of Parliament (MPs) and the elected
Members of the Legislative","67
Minister of a coalition government
cannot take decisions as he likes.
He has to accommodate different
groups and factions in his party as
well as among alliance partners. He
also has to heed to the views and
positions of the coalition partners
and other parties, on whose support
the survival of the government
depends.
The PresidentThe PresidentThe PresidentThe PresidentThe President
While the Prime Minister is the head
of the go vernment, the President is
the head of the State. In our political
system the head of the State exercises
only nominal powers. The President of
India is like the Queen of Britain whose
functions are to a large extent
ceremonial. The President supervises
the overall functioning of all the political
institutions in the country so that they
operate in harmony to achieve the
objectives of the State.
The President is not elected directly
by the people. The elected Members
of Parliament (MPs) and the elected
Members of the Legislative","prove majority support in the Lok
Sabha within a specified time.
The Presidential System
Presidents all over the world are not always nomi-
nal executives like the President of India. In many
countries of the world, the President is both the
head of the state and the head of the government.
The President of the United States of America is
the most well known example of this kind of Presi-
dent. The US President is directly elected by the
people. He personally chooses and appoints all
Ministers. The law making is still done by the leg-
islature (called the Congress in the US), but the
president can veto any law. Most importantly, the
president does not need the support of the major-
ity of members in the Congress and neither is he
answerable to them. He has a fixed tenure of four
years and completes it even if his party does not
have a majority in the Congress.
This model is followed in most of the countries
of Latin America and many of the ex-Soviet Union",67.5059570955958,48.5655655065555,50.4556748975595,56.5554489795958,84.4040036201477
"  Based on the information provided in the context, the role of the Judiciary is to:

1. Interpret the Constitution and strike down laws passed by Parliament if they are found to be in violation of the basic structure of the Constitution through the process of judicial review.
2. Uphold the law and enforce fundamental rights by allowing citizens to approach the Supreme Court or High Court if their Fundamental Rights have been violated.
3. Provide an independent and powerful judiciary, essential for democracies, by overseeing the judicial administration in the country and making decisions that are binding on all other courts of the country.
4. Hear disputes between citizens of the country, between citizens and the government, between two or more state governments, and between governments at the union and state level.
5. Ensure access to justice by facilitating Public Interest Litigation (PIL) and addressing issues of delay in providing justice.","The judiciary is considered essential for democracies. All the courts at different levels in a country put together are called the judiciary. The Indian judiciary consists of a Supreme Court for the entire nation and High Courts in the states. The judiciary also has the power to strike down particular laws passed by the Parliament if it believes that these are a violation of the basic structure of the Constitution; this is called judicial review. Every citizen of India can approach the Supreme Court or the High Court if they believe that their Fundamental Rights have been violated.
","the centre and state governments.
Judicial Review: As the final interpreter of the Constitution,
the judiciary also has the power to strike down particular laws
passed by the Parliament if it believes that these are a violation
of the basic structure of the Constitution. This is called judicial
review.
Upholding the Law and Enforcing Fundamental Rights:
Every citizen of India can approach the Supreme Court or the
High Court if they believe that their Fundamental Rights have
been violated.
What is the Role of the Judiciary?
Chapter 4: Judiciary
Supreme Court of India
https://www.sci.gov.in
2024-25","the centre and state governments.
Judicial Review: As the final interpreter of the Constitution,
the judiciary also has the power to strike down particular laws
passed by the Parliament if it believes that these are a violation
of the basic structure of the Constitution. This is called judicial
review.
Upholding the Law and Enforcing Fundamental Rights:
Every citizen of India can approach the Supreme Court or the
High Court if they believe that their Fundamental Rights have
been violated.
What is the Role of the Judiciary?
Chapter 4: Judiciary
Supreme Court of India
https://www.sci.gov.in
2024-25","69
4.4 THE JUDICIARY
ACTIVITY
Follow the news about any major court case in a
High Court or the Supreme Court. What was the
original verdict? Did the High Cour t or the
Supreme Court change it? What was the reason?
This is why an independent and
powerful judiciary  is considered
essential for democracies. All the
courts at different levels in a country
put together are called the judiciary.
The Indian judiciary consists of a
Supreme Court for the entire nation,
High Courts in the states, District
Courts and the courts at local level.
India has an integrated judiciary. It
means the Supreme Court controls
the judicial administration in the
country. Its decisions are binding on
all other courts of the country. It can
take up any dispute
/UIstopBetween citizens of the country;
/UIstopBetween citizens and government;
/UIstopBetween two or more state
governments; and
/UIstopBetween governments at the union
and state level.
It is the highest court of appeal in",45.7555575067567,55.7768954505789,55.5585540565549,45.4545659485075,87.7043843269348
"The answer to question 1 is (b) Christian missions set up a chain of missionary schools. The Constitution does not mention religious institutions or their establishment, so this is not an exercise of a fundamental right.

Answer to question 2 is (d) Parents' property is inherited by their children. The Indian Constitution does not provide for inheritance of property based on religious or linguistic minority status.

Answer to question 3 is (a) Freedom to criticise the government. The Indian Constitution provides for freedom of speech and expression, which includes the right to criticize the government.

Answer to question 4:

* (a) Freedom to propagate one’s religion - Right to Freedom of Religion
* (b) Right to life - Right against Exploitation
* (c) Abolition of untouchability - Right against Exploitation
* (d) Ban on bonded labour - Right to Freedom from Exploitation","The Right to Freedom includes the right to practice any profession, occupation, or business.
","Right against Exploitation
•	 for	prohibition	of	traffic	in	human	beings	and	forced	labour;
• for prohibition of  emplo yment of  children in hazardous jobs.
Right to Freedom of  Religion
• freedom of  conscience and free profession, practice and propag ation of     
 religion;
• freedom to manage religious affairs;
• freedom as to payment of  taxes for promotion of  any particular religion;
• freedom as to attendance at religious instruction or religious worship in educational 
institutions wholly maintained by the State.
Cultural and Educational Rights
•  for protection of interests of minorities to conserve their language, script and culture;
• for minorities to establish and administer educational institutions of  their c hoice.
Right to Constitutional Remedies
• by issuance of  directions or orders or writs by the Supreme Court and High Courts 
for enforcement of  these Fundamental Rights.","Right against Exploitation
•	 for	prohibition	of	traffic	in	human	beings	and	forced	labour;
• for prohibition of  emplo yment of  children in hazardous jobs.
Right to Freedom of  Religion
• freedom of  conscience and free profession, practice and propag ation of     
 religion;
• freedom to manage religious affairs;
• freedom as to payment of  taxes for promotion of  any particular religion;
• freedom as to attendance at religious instruction or religious worship in educational 
institutions wholly maintained by the State.
Cultural and Educational Rights
•  for protection of interests of minorities to conserve their language, script and culture;
• for minorities to establish and administer educational institutions of  their c hoice.
Right to Constitutional Remedies
• by issuance of  directions or orders or writs by the Supreme Court and High Courts 
for enforcement of  these Fundamental Rights.","about later in this book. The practice
of untouchability has also been
abolished.
2. Right to Freedom: This includes
the right to freedom of speech and
expression, the right to form
associations, the right to move freely
and reside in any part of the country,
and the right to practise any
profession, occupation or business.
3. Right against Exploitation: The
Constitution prohibits human
trafficking, forced labour, and
employment of children under 14
years of age.
4. Right to Freedom of Religion:
Religious freedom is provided to all
citizens. Every person has the right
to practise, profess and propagate
the religion of their choice.
5. Cultural and Educational Rights:
The Constitution states that all
minorities, religious or linguistic, can
set up their own educational
institutions in order to preserve and
develop their own culture.
6. Right to Constitutional Remedies:
This allows citizens to move the
court if they believe that any of their
Fundamental Rights have been",55.8456975555657,46.0485099656557,55.5549554948097,59.5459865545955,82.9514265060425
The minimum age to vote in India is 18 years old.,"The minimum age to vote in India is 18 years.
","say in decisions that affect them.
In our country, all the citizens aged
18 years and above can vote in an
election. Every citizen has the right
to vote, regardless of his or her caste,
religion or gender. Some criminals
and persons with unsound mind can
Do you know ,  like
in  Panchayats,
one-third of the
seats in Parliament
and Legislative
Assemblies have
also been reserved
for women as per
Nari Shakti Vandan
Adhiniyam, 2023
(Women's
Reservation Act
2023)
2024-25","say in decisions that affect them.
In our country, all the citizens aged
18 years and above can vote in an
election. Every citizen has the right
to vote, regardless of his or her caste,
religion or gender. Some criminals
and persons with unsound mind can
Do you know ,  like
in  Panchayats,
one-third of the
seats in Parliament
and Legislative
Assemblies have
also been reserved
for women as per
Nari Shakti Vandan
Adhiniyam, 2023
(Women's
Reservation Act
2023)
2024-25","so that no one can vote for someone
else. But the card is not yet
compulsory for voting. For voting,
the voters can show many other
proofs of identity like the ration card
or the driving licence.
N NN NNomina ominaomina ominaomina tion of candidation of candidation of candidation of candidation of candida t tt ttes eses eses
We noted above that in a democratic
election people should have a real
choice. This happens only when
there are almost no restrictions on
anyone to contest an election. This
is what our system provides. Any-
one who can be a voter can also be-
come a candidate in elections. The
only difference is that in order to be
a candidate the minimum age is 25
years, while it is only 18 years for
being a voter. There are some other
restrictions on criminals etc. but
these apply in very extreme cases.
Political parties nominate their can-
didates who get the party symbol
and support. Party’s nomination is
often called party ‘ticket’.
Every person who wishes to",90.4554055755595,95.5580955580955,94.7568455055655,95.5580955580955,99.3899643421173
"The Directive Principles of State Policy are guidelines for the government to follow in order to promote social and economic reforms, reduce poverty, and improve the welfare of citizens. These principles are not enforceable through courts, but rather serve as a moral and ethical guide for the government.

The situations below would violate various Fundamental Rights:

1. If a 13-year old child is working in a factory manufacturing carpets, it would violate the Right to Education (Article 21) as children have the right to education and cannot be employed in hazardous industries.
2. If a politician in one state decides to not allow labourers from other states to work in his state, it would violate the Right to Equality (Article 14) as it discriminates against people based on their place of origin.
3. If a group of people are not given permission to open a business due to their gender or any other protected ground, it would violate the Right to Equality and Non-Discrimination (Articles 15 and 16).","Directive Principles of State Policy is a section in the Constitution designed by the members of the . It lays down ideals that define the kind of country that we want to live in.
",", also
guarantees the rights of  minorities against the majority. As
Dr Ambedkar has said about these Fundamental Rights, their
object is two-fold. The first objective is that every citizen must
be in a position to claim those rights. And secondly, these rights
must be binding upon every authority that has got the power
to make laws.
In addition to Fundamental Rights, the Constitution also has a
section called Directive Principles of State Policy. This section
was designed by the members of the Constituent Assembly to
ensure greater social and economic reforms, and to serve as a
guide to the independent Indian State to institute laws and
policies that help reduce the poverty of the masses.
Which Fundamental Rights will the following situations
violate:
- If a 13-year old child is working in a factory manufacturing
carpets.
- If a politician in one state decides to not allow labourers
from other states to work in his state.
- If a group of people are not given permission to open a",", also
guarantees the rights of  minorities against the majority. As
Dr Ambedkar has said about these Fundamental Rights, their
object is two-fold. The first objective is that every citizen must
be in a position to claim those rights. And secondly, these rights
must be binding upon every authority that has got the power
to make laws.
In addition to Fundamental Rights, the Constitution also has a
section called Directive Principles of State Policy. This section
was designed by the members of the Constituent Assembly to
ensure greater social and economic reforms, and to serve as a
guide to the independent Indian State to institute laws and
policies that help reduce the poverty of the masses.
Which Fundamental Rights will the following situations
violate:
- If a 13-year old child is working in a factory manufacturing
carpets.
- If a politician in one state decides to not allow labourers
from other states to work in his state.
- If a group of people are not given permission to open a","recalling the constitutive rules that you have read about through these examples:
Example Constitutive Rules
The people of Nepal adopted a new It lays down ideals that define the kind of
Constitution after the success of the country that we want to live in.
people’s movement for democracy .
Suresh, the class monitor wrongly picks on
Anil, his classmate.
The girls do not get to play basketball
because the boys are a majority in class.
Shabnam decides to revise her chapters
instead of watching TV.
Q
2024-25",57.5885568840655,57.596449704545,50.955580955585,58.4655584655585,85.627681016922
The primary function of the Constitution is to establish the fundamental rules and principles that govern a democratic society.,"As the supreme law of the country, the constitution determines the rights of citizens, the powers of the government and how the government should function.
","9
Similarly, the Constitution helps to protect us against
certain decisions that we might take that could have an
adverse effect on the larger principles that the country
believes in. For example, it is possible that many people
who live in a democracy might come to strongly feel that
party politics has become so acrimonious that we need a
strong dictator to set this right. Swept by this emotion,
they may not realise that in the long run, dictatorial rule
goes against all their interests. A good Constitution does
not allow these whims to change its basic structure. It does
not allow for the easy overthrow of provisions that
guarantee rights of citizens and protect their freedom.
From the above discussion, you will understand that the
Constitution plays a very important role in democratic
societies.
The third significant reason why we need a Constitution
is to save us from ourselves. This may sound strange but
what is meant by this is that we might at times feel  strongly","9
Similarly, the Constitution helps to protect us against
certain decisions that we might take that could have an
adverse effect on the larger principles that the country
believes in. For example, it is possible that many people
who live in a democracy might come to strongly feel that
party politics has become so acrimonious that we need a
strong dictator to set this right. Swept by this emotion,
they may not realise that in the long run, dictatorial rule
goes against all their interests. A good Constitution does
not allow these whims to change its basic structure. It does
not allow for the easy overthrow of provisions that
guarantee rights of citizens and protect their freedom.
From the above discussion, you will understand that the
Constitution plays a very important role in democratic
societies.
The third significant reason why we need a Constitution
is to save us from ourselves. This may sound strange but
what is meant by this is that we might at times feel  strongly","18 DEMOCRATIC P OLITICS
CHAPTER 2
CONSTITUTIONAL
DESIGN
OVERVIEW
We noted in the previous chapter that in a democracy the rulers are not
free to do what they like. There are certain basic rules that the citizens
and the government have to follow. All such rules together are called
constitution. As the supreme law of the country, the constitution determines
the rights of citizens, the powers of the government and how the government
should function.
In this chapter we ask some basic questions about the constitutional
design of a democracy. Why do we need a constitution? How are the
constitutions drawn up? Who designs them and in what way? What are
the values that shape the constitutions in democratic states? Once a
constitution is accepted, can we make changes later as required by the
changing conditions?
One recent instance of designing constitution for a democratic state is
that of South Africa. We begin this chapter by looking at what happened",54.8547995598569,56.5656565656564,9.55580955580955,55.8585858585858,89.2567217350006
"To amend the Constitution, the Indian government must follow a specific process outlined in Article 368 of the document. This process involves the following steps:

1. A bill for the amendment must be introduced in the Lok Sabha (the lower house of Parliament) by at least 50 members or by the President himself.
2. The bill must be passed by the Lok Sabha and then sent to the Rajya Sabha (the upper house of Parliament) for approval. If the Rajya Sabha makes any changes to the bill, it must be sent back to the Lok Sabha for reconsideration.
3. If the Rajya Sabha does not pass the bill within 60 days of receiving it, it is deemed to have been passed by both houses of Parliament.
4. The bill is then sent to the President for assent. If the President signs the bill, it becomes a Constitutional amendment.
5. If the President refuses to sign the bill or returns it to the Parliament for reconsideration, it cannot become an amendment without the support of two-thirds majority in both houses of Parliament.

In summary, the process of amending the Indian Constitution is a complex one that involves the participation of both the legislative and executive branches of government, as well as the President.","The Constitution can be amended through constitutional amendments, which are changes made by the supreme legislative body in a country. The Indian Constitution has provisions to incorporate changes from time to time in accordance with people’s aspirations and changes in society.
","governing the politics and society in a country.
Constitutional amendment: A change in the constitution made by the
supreme legislative body in a country.
Draft: A preliminary version of a legal document.
Philosophy: The most fundamental principles underlying one’s thoughts
and actions.
Preamble: An introductory statement in a constitution which states the
reasons and guiding values of the constitution.
Treason: The offence of attempting to overthrow the government of the
state to which the offender owes allegiance.
Tryst: A meeting or meeting place that has been agreed upon.
CHECK
YOUR
PROGRESS
2024-25","governing the politics and society in a country.
Constitutional amendment: A change in the constitution made by the
supreme legislative body in a country.
Draft: A preliminary version of a legal document.
Philosophy: The most fundamental principles underlying one’s thoughts
and actions.
Preamble: An introductory statement in a constitution which states the
reasons and guiding values of the constitution.
Treason: The offence of attempting to overthrow the government of the
state to which the offender owes allegiance.
Tryst: A meeting or meeting place that has been agreed upon.
CHECK
YOUR
PROGRESS
2024-25","it updated. Those who crafted the
Indian Constitution felt that it has to
be in accordance with people’s
aspirations and changes in society.
They did not see it as a sacred, static
and unalterable law. So, they made
provisions to incorporate changes
from time to time. These changes are
called constitutional amendments.
The Constitution describes the
institutional arrangements in a very
legal language. If you read the
Constitution for the first time, it can
be quite difficult to understand. Yet
the basic institutional design is not
very difficult to understand. Like any
Constitution, the Indian
Constitution lays down a procedure
for choosing persons to govern the
country. It defines who will have how
much power to take which decisions.
And it puts limits to what the
government can do by providing
some rights to the citizen that
cannot be violated. The remaining
three chapters in this book are about
these three aspects of the working
of Indian constitution. We shall look",55.5688567055455,55.5555555555555,5.56595059490657,58.5555555555555,83.563643693924
The primary role of the Parliament is to make laws for the country through its legislative function.,"The primary role of the Parliament is to make laws. Parliaments all over the world can make new laws, change existing laws, or abolish existing laws and make new ones in their place.
","matters dealing with finances, the Parliament’s approval is
crucial for the government. 
This is one of the several ways
in which the Parliament controls, guides and infor ms the
government. The MPs as representatives of the people have
a central r ole in contr olling , guiding and inf orming
Parliament and this is a k ey aspect of  the functioning of
Indian democracy.
The following is an example of  a question asked in Parliament.
Source: http://loksabha.nic.in
2024-25","matters dealing with finances, the Parliament’s approval is
crucial for the government. 
This is one of the several ways
in which the Parliament controls, guides and infor ms the
government. The MPs as representatives of the people have
a central r ole in contr olling , guiding and inf orming
Parliament and this is a k ey aspect of  the functioning of
Indian democracy.
The following is an example of  a question asked in Parliament.
Source: http://loksabha.nic.in
2024-25","1 Parliament is the final authority for
making laws in any country. This
task of law making or legislation
is so crucial that these assemblies
are called legislatures. Parliaments
all over the world can make new
laws, change existing laws, or
abolish existing laws and make
new ones in their place.
2 Parliaments all over the world
exercise some control over those
who run the government. In some
countries like India this control is
direct and full. Those who run the
government can take decisions
only so long as they enjoy support
of Parliament.
3 Parliaments control all the money
that governments have. In most
countries the public money can
be spent only when Parliament
sanctions it.
through a bad decision. That is why
democratic governments insist on
institutions.
4.2 PARLIAMENT
In the example of the Office
Memorandum, do you remember
the role of Parliament? Perhaps not.
Since this decision was not taken
by Parliament, you might think that
Parliament had no role in it. But let",55.5894570558656,44,57.5,44,91.7268991470337
" In India, Members of Parliament (MPs) are elected through a process outlined in the document. The electoral process begins with the division of the country into numerous constituencies, each electing one member to the Parliament. Candidates run for election as independent candidates or belonging to different political parties. After the elections, the MLAs (Members of Legislative Assembly) belonging to the ruling party elect their leader, who becomes the Chief Minister. The Chief Minister then selects other people as ministers. The Chief Minister and other ministers are responsible for running various government departments or ministries and have separate offices.

To form the government, a political party must have a majority of elected MPs, which is at least half the number of members in the Lok Sabha, which is 543. The Opposition party is formed by all the political parties that are not part of the majority party/coalition formed. The largest amongst these parties is called the Opposition party.

The Parliament of India has two Houses: the Rajya Sabha and the Lok Sabha. The Lok Sabha is usually elected once every five years, and the Governor of the state appoints the Chief Minister and other ministers after the elections.","Elections to the Parliament are held in a similar manner as they are for the state legislature. Once elected, these candidates become Members of Parliament or MPs.
","Social and Political Life 36
Once elected, these candidates become Members
of Parliament or MPs. These MPs together make
up the Parliament. Once elections to the
Parliament have taken place, the Parliament needs
to perform the following functions:
A. To Select the National Government
Parliament of India consists of the President, the Rajya
Sabha and the Lok Sabha. After the Lok Sabha elections,
a list is prepared showing how many MPs belong to
each political party. For a political party to form the
government, they must have a majority of elected MPs.
Since there are 543 elected members in Lok Sabha,
to have a majority a party should have at least half
the number i.e. 272 members or more. The
Opposition in Parliament is formed by all the
political parties that are not part of the majority
party/coalition formed. The largest amongst these
parties is called the Opposition party.
One of the most important functions of the Lok
Sabha is to select the executive. The executive, as","Social and Political Life 36
Once elected, these candidates become Members
of Parliament or MPs. These MPs together make
up the Parliament. Once elections to the
Parliament have taken place, the Parliament needs
to perform the following functions:
A. To Select the National Government
Parliament of India consists of the President, the Rajya
Sabha and the Lok Sabha. After the Lok Sabha elections,
a list is prepared showing how many MPs belong to
each political party. For a political party to form the
government, they must have a majority of elected MPs.
Since there are 543 elected members in Lok Sabha,
to have a majority a party should have at least half
the number i.e. 272 members or more. The
Opposition in Parliament is formed by all the
political parties that are not part of the majority
party/coalition formed. The largest amongst these
parties is called the Opposition party.
One of the most important functions of the Lok
Sabha is to select the executive. The executive, as","Social and Political Life 34
The Role of the Parliament
Created after 1947, the Indian Parliament is an expression of
the faith that the people of India have in principles of
democracy. These are participation by people in the decision-
making process and government by consent. The Parliament
in our system has immense powers because it is the
representative of the people. Elections to the Parliament are
held in a similar manner as they are for the state legislature.
The Lok Sabha is usually elected once every five years. The
country is divided into numerous  constituencies as shown
in the map on page 45. Each of these constituencies elects
one person to the Parliament. The candidates who contest
elections usually belong to different political parties.
1. The Parliament of India (Sansad) is the supreme law-making institution. It has two Houses, the Rajya Sabha and the Lok Sabha.",49.4754655965599,65.6705997575504,56.5645855656458,59.5570575507084,87.5696003437042
The Rajya Sabha is also known as the Council of States.,"The Rajya Sabha is also known as the Council of States.
","elections usually belong to different political parties.
1. The Parliament of India (Sansad) is the supreme law-making institution. It has two Houses, the Rajya Sabha and the Lok Sabha.
2. Rajya Sabha (Council of States), with a total strength of 250 members, is chaired by the Vice-President of India.
3. Lok Sabha (House of the People), with a total membership of 543, is presided over by the Speaker.
1
2
 3
2024-25","elections usually belong to different political parties.
1. The Parliament of India (Sansad) is the supreme law-making institution. It has two Houses, the Rajya Sabha and the Lok Sabha.
2. Rajya Sabha (Council of States), with a total strength of 250 members, is chaired by the Vice-President of India.
3. Lok Sabha (House of the People), with a total membership of 543, is presided over by the Speaker.
1
2
 3
2024-25","37
The Rajya Sabha functions primarily as the representative
of the states of India in the Parliament. The Rajya Sabha
can also initiate legislation and a bill is required to pass
through the Rajya Sabha in order to become a law. It,
therefore, has an important role of reviewing and altering
(if alterations are needed) the laws initiated by the Lok
Sabha. The members of the Rajya Sabha are elected by the
elected members of the Legislative Assemblies of various
states. There are 233  elected members plus 12 members
nominated by the President.
B. To Control, Guide and Inform the Government
The Parliament, while in session, begins with a question hour.
The question hour is an important mechanism through which
MPs can elicit information about the working of the
government. This is a very important way through which
the Parliament controls the executive. By asking questions
the government is alerted to its shortcomings, and also comes
to know the opinion of the people through their",500,500,500,500,100
The Lok Sabha is also known as the House of the People.,"The Lok Sabha is also known as the House of the People.
","elections usually belong to different political parties.
1. The Parliament of India (Sansad) is the supreme law-making institution. It has two Houses, the Rajya Sabha and the Lok Sabha.
2. Rajya Sabha (Council of States), with a total strength of 250 members, is chaired by the Vice-President of India.
3. Lok Sabha (House of the People), with a total membership of 543, is presided over by the Speaker.
1
2
 3
2024-25","elections usually belong to different political parties.
1. The Parliament of India (Sansad) is the supreme law-making institution. It has two Houses, the Rajya Sabha and the Lok Sabha.
2. Rajya Sabha (Council of States), with a total strength of 250 members, is chaired by the Vice-President of India.
3. Lok Sabha (House of the People), with a total membership of 543, is presided over by the Speaker.
1
2
 3
2024-25","Social and Political Life 34
The Role of the Parliament
Created after 1947, the Indian Parliament is an expression of
the faith that the people of India have in principles of
democracy. These are participation by people in the decision-
making process and government by consent. The Parliament
in our system has immense powers because it is the
representative of the people. Elections to the Parliament are
held in a similar manner as they are for the state legislature.
The Lok Sabha is usually elected once every five years. The
country is divided into numerous  constituencies as shown
in the map on page 45. Each of these constituencies elects
one person to the Parliament. The candidates who contest
elections usually belong to different political parties.
1. The Parliament of India (Sansad) is the supreme law-making institution. It has two Houses, the Rajya Sabha and the Lok Sabha.",500,500,500,500,99.999988079071
